query	subject	pident	length	mismatch	gapopen	query_start	query_end	subject_start	subject_end	evalue	bitscore
___SAMEA2030079_contig1	C/TW3/OT	100	1194	0	0	728848	730041	1194	1	0	2206
___SAMEA2030080_contig1	C/TW3/OT	99.816	544	1	0	792328	792871	1194	651	0	1000
___SAMEA2030531_contig1	A/SA-1	99.572	1169	5	0	792017	793185	1169	1	0	2132
___SAMEA2030531_contig1	A/SA-1	98.667	75	1	0	791842	791916	1191	1117	1.11E-30	134
___SAMEA2030531_contig4	L2c	99.899	989	1	0	1	989	1011	23	0	1821
AR_SAMEA1398224_contig1	E/Bour	100	1182	0	0	727495	728676	1182	1	0	2183
AR_SAMEA1398325_contig1	E/Bour	100	1182	0	0	727565	728746	1182	1	0	2183
AR_SAMEA2019790_contig1	E/Bour	100	1182	0	0	791499	792680	1182	1	0	2183
AR_SAMEA2045708_contig1	K/UW31/Cx	100	1194	0	0	791625	792818	1194	1	0	2206
AU_SAMEA1559182_contig1	Ba/Apache2	98.903	1185	13	0	727829	729013	1185	1	0	2117
AU_SAMEA1559238_contig1	C/TW3/OT	99.581	1194	5	0	247369	248562	1194	1	0	2178
AU_SAMEA1559248_contig1	Ba/Apache2	98.903	1185	13	0	735345	736529	1185	1	0	2117
AU_SAMEA1559312_contig1	C/TW3/OT	99.581	1194	5	0	578833	580026	1194	1	0	2178
AU_SAMEA1559314_contig1	C/TW3/OT	99.581	1194	5	0	247330	248523	1194	1	0	2178
AU_SAMEA2191813_contig1	Ba/Apache2	99.747	1185	3	0	732219	733403	1185	1	0	2172
AU_SAMEA2191819_contig1	C/TW3/OT	99.581	1194	5	0	247354	248547	1194	1	0	2178
AU_SAMEA2191820_contig1	C/TW3/OT	99.581	1194	5	0	730339	731532	1194	1	0	2178
AU_SAMEA2191821_contig1	Ba/Apache2	98.903	1185	13	0	940770	941954	1185	1	0	2117
AU_SAMEA3450115_contig1	Ba/Apache2	98.903	1185	13	0	962701	963885	1185	1	0	2117
AU_SAMEA3450116_contig1	Ba/Apache2	98.903	1185	13	0	940655	941839	1185	1	0	2117
AU_SAMEA3450117_contig1	Ba/Apache2	98.903	1185	13	0	247401	248585	1185	1	0	2117
AU_SAMEA3450118_contig1	Ba/Apache2	98.903	1185	13	0	247398	248582	1185	1	0	2117
AU_SAMEA3450120_contig1	Ba/Apache2	98.903	1185	13	0	940656	941840	1185	1	0	2117
CA_SAMEA1527908_contig1	C/TW3/OT	99.916	1194	1	0	886986	888179	1194	1	0	2200
CN_SAMN05991867_contig1	Ba/Apache2	99.662	1185	4	0	945434	946618	1185	1	0	2167
DK_SAMEA2030036_contig1	E/Bour	100	1182	0	0	732567	733748	1182	1	0	2183
ET_343L_contig1	A/SA-1	99.832	1191	2	0	761387	762577	1191	1	0	2189
ET_45S_contig1	C/TW3/OT	99.749	1194	3	0	784293	785486	1194	1	0	2189
ET_736L_contig1	A/SA-1	99.748	1191	3	0	779638	780828	1191	1	0	2183
ET_A_ETH342_contig1	A/SA-1	99.832	1191	2	0	781490	782680	1191	1	0	2189
ET_A_ETH948_contig1	A/SA-1	99.916	1191	1	0	780434	781624	1191	1	0	2194
ET_A10_ETH1047_contig1	A/SA-1	99.916	1191	1	0	780681	781871	1191	1	0	2194
ET_A10_ETH783_contig1	A/SA-1	99.916	1191	1	0	785234	786424	1191	1	0	2194
ET_A5_ETH786_contig1	A/SA-1	99.748	1191	3	0	822440	823630	1191	1	0	2183
ET_M-12_S93_L003_contig1	A/SA-1	99.748	1191	3	0	776383	777573	1191	1	0	2183
ET_SAMEA111348509_contig1	Ba/Apache2	99.662	1185	4	0	792699	793883	1185	1	0	2167
ET_SAMEA111348510_contig1	Ba/Apache2	99.662	1185	4	0	792916	794100	1185	1	0	2167
ET_SAMEA111348511_contig1	A/SA-1	99.832	1191	2	0	783323	784513	1191	1	0	2189
ET_SAMEA111348512_contig1	Ba/Apache2	99.662	1185	4	0	775309	776493	1185	1	0	2167
ET_SAMEA111348513_contig1	Ba/Apache2	99.662	1185	4	0	785105	786289	1185	1	0	2167
ET_SAMEA111348514_contig1	Ba/Apache2	99.662	1185	4	0	784924	786108	1185	1	0	2167
ET_SAMEA111348517_contig1	Ba/Apache2	99.662	1185	4	0	787656	788840	1185	1	0	2167
ET_SAMEA111348518_contig1	Ba/Apache2	99.662	1185	4	0	787445	788629	1185	1	0	2167
ET_SAMEA111348519_contig1	A/SA-1	99.832	1191	2	0	791648	792838	1191	1	0	2189
ET_SAMEA111348522_contig1	A/SA-1	100	978	0	0	794278	795255	978	1	0	1807
ET_SAMEA111348524_contig1	Ba/Apache2	99.662	1185	4	0	809036	810220	1185	1	0	2167
ET_SAMEA12814119_contig1	Ba/Apache2	99.662	1185	4	0	792970	794154	1185	1	0	2167
ET_SAMEA12814120_contig1	Ba/Apache2	99.662	1185	4	0	793041	794225	1185	1	0	2167
ET_SAMEA12814121_contig1	Ba/Apache2	99.662	1185	4	0	792589	793773	1185	1	0	2167
ET_SAMEA12814122_contig1	Ba/Apache2	99.662	1185	4	0	792924	794108	1185	1	0	2167
ET_SAMEA12814123_contig1	A/SA-1	99.832	1191	2	0	784099	785289	1191	1	0	2189
ET_SAMEA12814125_contig1	Ba/Apache2	99.662	1185	4	0	792645	793829	1185	1	0	2167
ET_SAMEA12814126_contig1	Ba/Apache2	99.662	1185	4	0	792921	794105	1185	1	0	2167
ET_SAMEA12814127_contig1	A/SA-1	99.831	1184	2	0	786221	787404	1184	1	0	2176
ET_SAMEA12814128_contig1	Ba/Apache2	99.662	1185	4	0	779490	780674	1185	1	0	2167
ET_SAMEA12814129_contig1	Ba/Apache2	99.662	1185	4	0	785401	786585	1185	1	0	2167
ET_SAMEA12814133_contig1	A/SA-1	99.832	1191	2	0	783415	784605	1191	1	0	2189
ET_SAMEA12814135_contig1	Ba/Apache2	99.662	1185	4	0	785136	786320	1185	1	0	2167
ET_SAMEA12814136_contig1	Ba/Apache2	99.662	1185	4	0	792509	793693	1185	1	0	2167
ET_SAMEA12814139_contig1	A/SA-1	99.832	1191	2	0	786251	787441	1191	1	0	2189
ET_SAMEA12814146_contig1	Ba/Apache2	99.662	1185	4	0	785017	786201	1185	1	0	2167
ET_SAMEA12814147_contig1	Ba/Apache2	99.662	1185	4	0	785501	786685	1185	1	0	2167
ET_SAMEA12814148_contig1	Ba/Apache2	99.662	1185	4	0	785770	786954	1185	1	0	2167
ET_SAMEA12814160_contig1	Ba/Apache2	99.662	1185	4	0	799312	800496	1185	1	0	2167
ET_SAMEA6872263_contig1	A/SA-1	99.748	1191	3	0	729231	730421	1191	1	0	2183
ET_SAMEA6872264_contig1	A/SA-1	99.748	1191	3	0	579171	580361	1191	1	0	2183
ET_SAMEA6872265_contig1	Ba/Apache2	99.578	1185	5	0	795676	796860	1185	1	0	2161
ET_SAMEA6872266_contig1	Ba/Apache2	99.578	1185	5	0	941954	943138	1185	1	0	2161
ET_SAMEA6872267_contig1	Ba/Apache2	99.578	1185	5	0	941821	943005	1185	1	0	2161
ET_SAMEA6872268_contig1	Ba/Apache2	99.578	1185	5	0	729349	730533	1185	1	0	2161
ET_SAMEA6872269_contig1	Ba/Apache2	99.578	1185	5	0	963980	965164	1185	1	0	2161
ET_SAMEA6872272_contig1	Ba/Apache2	99.578	1185	5	0	77153	78337	1185	1	0	2161
ET_SAMEA6872274_contig1	A/SA-1	99.832	1191	2	0	964103	965293	1191	1	0	2189
ET_SAMEA6872276_contig1	Ba/Apache2	99.578	1185	5	0	963969	965153	1185	1	0	2161
ET_SAMEA6872277_contig1	Ba/Apache2	99.578	1185	5	0	729374	730558	1185	1	0	2161
ET_SAMEA6872279_contig1	A/SA-1	99.748	1191	3	0	940935	942125	1191	1	0	2183
ET_SAMEA6872280_contig1	A/SA-1	99.748	1191	3	0	962594	963784	1191	1	0	2183
ET_SAMEA6872281_contig1	A/SA-1	99.832	1191	2	0	964283	965473	1191	1	0	2189
ET_SAMEA6872282_contig1	A/SA-1	99.748	1191	3	0	727997	729187	1191	1	0	2183
ET_SAMEA6872283_contig1	Ba/Apache2	99.578	1185	5	0	941751	942935	1185	1	0	2161
ET_SAMEA6872284_contig1	A/SA-1	99.832	1191	2	0	962882	964072	1191	1	0	2189
ET_SAMEA6872285_contig1	A/SA-1	99.832	1191	2	0	729049	730239	1191	1	0	2189
ET_SAMEA6872286_contig1	Ba/Apache2	99.578	1185	5	0	580683	581867	1185	1	0	2161
ET_SAMEA6872287_contig1	Ba/Apache2	99.578	1185	5	0	941905	943089	1185	1	0	2161
ET_SAMEA6872288_contig1	Ba/Apache2	99.662	1185	4	0	722003	723187	1185	1	0	2167
ET_SAMEA6872289_contig1	Ba/Apache2	99.578	1185	5	0	777845	779029	1185	1	0	2161
ET_SAMEA6872290_contig1	Ba/Apache2	99.662	1185	4	0	247722	248906	1185	1	0	2167
ET_SAMEA6872291_contig1	A/SA-1	99.748	1191	3	0	962915	964105	1191	1	0	2183
ET_SAMEA6872292_contig1	A/SA-1	99.748	1191	3	0	206597	207787	1191	1	0	2183
ET_SAMEA6872293_contig1	A/SA-1	99.748	1191	3	0	940565	941755	1191	1	0	2183
ET_SAMEA6872294_contig1	A/SA-1	99.748	1191	3	0	728164	729354	1191	1	0	2183
ET_SAMEA6872295_contig1	A/SA-1	99.832	1191	2	0	727960	729150	1191	1	0	2189
ET_SAMEA6872296_contig1	A/SA-1	99.664	1191	4	0	963028	964218	1191	1	0	2178
ET_SAMEA6872297_contig1	A/SA-1	99.832	1191	2	0	798062	799252	1191	1	0	2189
ET_SAMEA6872298_contig1	A/SA-1	99.748	1191	3	0	206584	207774	1191	1	0	2183
ET_SAMEA6872299_contig1	A/SA-1	99.832	1191	2	0	487610	488800	1191	1	0	2189
ET_SAMEA6872300_contig1	A/SA-1	99.748	1191	3	0	962609	963799	1191	1	0	2183
ET_SAMEA6872301_contig1	A/SA-1	99.832	1191	2	0	206592	207782	1191	1	0	2189
ET_SAMEA6872302_contig1	A/SA-1	99.832	1191	2	0	727981	729171	1191	1	0	2189
ET_SAMEA6872303_contig1	A/SA-1	99.832	1191	2	0	727975	729165	1191	1	0	2189
ET_SAMEA6872304_contig1	Ba/Apache2	99.578	1185	5	0	838877	840061	1185	1	0	2161
ET_SAMEA6872305_contig1	Ba/Apache2	99.578	1185	5	0	206592	207776	1185	1	0	2161
ET_SAMEA6872306_contig1	Ba/Apache2	99.578	1185	5	0	206589	207773	1185	1	0	2161
ET_SAMEA6872307_contig1	Ba/Apache2	99.662	1185	4	0	964139	965323	1185	1	0	2167
ET_SAMEA6872308_contig1	Ba/Apache2	99.578	1185	5	0	963865	965049	1185	1	0	2161
ET_SAMEA6872309_contig1	A/SA-1	99.832	1191	2	0	941885	943075	1191	1	0	2189
ET_SAMEA6872310_contig1	Ba/Apache2	99.578	1185	5	0	729455	730639	1185	1	0	2161
ET_SAMEA6872311_contig1	Ba/Apache2	99.662	1185	4	0	964076	965260	1185	1	0	2167
ET_SAMEA6872312_contig1	Ba/Apache2	99.578	1185	5	0	206644	207828	1185	1	0	2161
ET_SAMEA6872313_contig1	Ba/Apache2	99.578	1185	5	0	964075	965259	1185	1	0	2161
ET_SAMEA6872314_contig1	Ba/Apache2	99.578	1185	5	0	799725	800909	1185	1	0	2161
ET_SAMEA6872315_contig1	A/SA-1	99.832	1191	2	0	962910	964100	1191	1	0	2189
ET_SAMEA6872316_contig1	Ba/Apache2	99.578	1185	5	0	781539	782723	1185	1	0	2161
ET_SAMEA6872317_contig1	A/SA-1	99.748	1191	3	0	722387	723577	1191	1	0	2183
ET_SAMEA6872318_contig1	A/SA-1	99.832	1191	2	0	962806	963996	1191	1	0	2189
ET_SAMEA6872319_contig1	Ba/Apache2	99.578	1185	5	0	963853	965037	1185	1	0	2161
ET_SAMEA6872320_contig1	Ba/Apache2	99.578	1185	5	0	729292	730476	1185	1	0	2161
ET_SAMEA6872321_contig1	Ba/Apache2	99.578	1185	5	0	782818	784002	1185	1	0	2161
ET_SAMEA6872322_contig1	A/SA-1	99.832	1191	2	0	783043	784233	1191	1	0	2189
ET_SAMEA6872324_contig1	A/SA-1	99.832	1191	2	0	935863	937053	1191	1	0	2189
ET_SAMEA6872325_contig1	A/SA-1	99.832	1191	2	0	247858	249048	1191	1	0	2189
ET_SAMEA6872326_contig1	Ba/Apache2	99.578	1185	5	0	729295	730479	1185	1	0	2161
ET_SAMEA6872327_contig1	Ba/Apache2	99.578	1185	5	0	786431	787615	1185	1	0	2161
ET_SAMEA6872328_contig1	Ba/Apache2	99.578	1185	5	0	729357	730541	1185	1	0	2161
ET_SAMEA6872329_contig1	Ba/Apache2	99.662	1185	4	0	729149	730333	1185	1	0	2167
ET_SAMEA6872330_contig1	Ba/Apache2	99.578	1185	5	0	941947	943131	1185	1	0	2161
ET_SAMEA6872331_contig1	Ba/Apache2	99.578	1185	5	0	729587	730771	1185	1	0	2161
ET_SAMEA6872332_contig1	A/SA-1	99.748	1191	3	0	831562	832752	1191	1	0	2183
ET_SAMEA6872333_contig1	Ba/Apache2	99.578	1185	5	0	963871	965055	1185	1	0	2161
ET_SAMEA6872334_contig1	A/SA-1	99.832	1191	2	0	578932	580122	1191	1	0	2189
ET_SAMEA6872335_contig1	Ba/Apache2	99.578	1185	5	0	941974	943158	1185	1	0	2161
ET_SAMEA6872336_contig1	A/SA-1	99.748	1191	3	0	727871	729061	1191	1	0	2183
ET_SAMEA6872337_contig1	A/SA-1	99.748	1191	3	0	727851	729041	1191	1	0	2183
ET_SAMEA6872338_contig1	Ba/Apache2	99.662	1185	4	0	963787	964971	1185	1	0	2167
ET_SAMEA6872339_contig1	A/SA-1	99.748	1191	3	0	727893	729083	1191	1	0	2183
ET_SAMEA6872340_contig1	A/SA-1	99.748	1191	3	0	206607	207797	1191	1	0	2183
ET_SAMEA6872341_contig1	A/SA-1	99.748	1191	3	0	487503	488693	1191	1	0	2183
